"STATE","Total.population","Registered","Voted","natl_reg","voter_turnout"
"UNITED STATES",249748,153066,122281,0.612881784839118,0.798877608351953
"ALABAMA",3753,2490,1830,0.663469224620304,0.734939759036145
"ALASKA",523,337,263,0.644359464627151,0.780415430267062
"ARIZONA",5361,3262,2800,0.608468569296773,0.858369098712446
"ARKANSAS",2261,1262,919,0.558160106147722,0.728209191759112
"CALIFORNIA",30243,15690,13240,0.518797738319611,0.843849585723391
"COLORADO",4353,2645,2342,0.607626923960487,0.885444234404537
"CONNECTICUT",2834,1726,1370,0.609033168666196,0.793742757821553
"DELAWARE",756,472,369,0.624338624338624,0.781779661016949
"DISTRICT OF COLUMBIA",567,397,313,0.700176366843034,0.788413098236776
"FLORIDA",16845,9435,7918,0.560106856634016,0.83921568627451
"GEORGIA",7850,4840,4084,0.61656050955414,0.843801652892562
"HAWAII",1057,523,427,0.494796594134342,0.816443594646271
"IDAHO",1299,743,587,0.57197844495766,0.790040376850606
"ILLINOIS",9732,6068,4740,0.623510069872585,0.781147000659196
"INDIANA",5006,3131,2364,0.625449460647223,0.755030341743852
"IOWA",2376,1658,1335,0.697811447811448,0.80518697225573
"KANSAS",2149,1449,1152,0.674267100977199,0.795031055900621
"KENTUCKY",3370,2389,1746,0.708902077151335,0.730849727919632
"LOUISIANA",3458,2263,1656,0.654424522845576,0.731771984091913
"MAINE",1074,828,693,0.770949720670391,0.83695652173913
"MARYLAND",4666,3095,2320,0.663309044149164,0.749596122778675
"MASSACHUSETTS",5460,3345,2731,0.612637362637363,0.81644245142003
"MICHIGAN",7657,5453,4418,0.712158808933002,0.810196222262974
"MINNESOTA",4238,3000,2523,0.707881075979235,0.841
"MISSISSIPPI",2194,1599,1180,0.728805834092981,0.737961225766104
"MISSOURI",4676,3299,2509,0.70551753635586,0.760533494998484
"MONTANA",822,579,518,0.704379562043796,0.894645941278066
"NEBRASKA",1428,883,676,0.618347338935574,0.765571913929785
"NEVADA",2324,1277,1006,0.549483648881239,0.78778386844166
"NEW HAMPSHIRE",1080,726,576,0.672222222222222,0.793388429752066
"NEW JERSEY",7009,4297,3384,0.613068911399629,0.787526181056551
"NEW MEXICO",1576,916,715,0.581218274111675,0.78056768558952
"NEW YORK",15478,8553,6775,0.552590774001809,0.792119724073425
"NORTH CAROLINA",7911,5160,3899,0.652256351915055,0.75562015503876
"NORTH DAKOTA",560,397,335,0.708928571428571,0.843828715365239
"OHIO",8873,6062,4538,0.683196213231151,0.748597822500825
"OKLAHOMA",2868,1777,1350,0.619595536959554,0.759707371975239
"OREGON",3293,2274,1918,0.690555724263589,0.843447669305189
"PENNSYLVANIA",9928,6469,5173,0.651591458501209,0.799659916524965
"RHODE ISLAND",828,532,403,0.642512077294686,0.757518796992481
"SOUTH CAROLINA",3914,2430,1836,0.620848237097598,0.755555555555556
"SOUTH DAKOTA",648,429,331,0.662037037037037,0.771561771561772
"TENNESSEE",5202,3183,2487,0.611880046136101,0.7813383600377
"TEXAS",21064,11634,8886,0.552316748955564,0.763795771015988
"UTAH",2247,1443,1214,0.64218958611482,0.841302841302841
"VERMONT",503,343,273,0.681908548707754,0.795918367346939
"VIRGINIA",6386,4159,3319,0.651268399624178,0.798028372204857
"WASHINGTON",5775,3852,3234,0.667012987012987,0.839563862928349
"WEST VIRGINIA",1406,892,610,0.634423897581792,0.683856502242152
"WISCONSIN",4436,3129,2776,0.70536519386835,0.887184403962927
"WYOMING",430,268,220,0.623255813953488,0.82089552238806
