"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,
"Table 4a.  Reported Voting and Registration, for States:  November 2018",,,,,,,,,,,,
(In thousands),,,,,,,,,,,,
,,,,,,,,,,,,
STATE,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
UNITED STATES,"249,748","228,832","153,066",61.3,0.3,66.9,0.3,"122,281",49.0,0.3,53.4,0.3
ALABAMA,"3,753","3,609","2,490",66.4,2.5,69.0,2.5,"1,830",48.8,2.7,50.7,2.7
ALASKA,523,497,337,64.4,2.7,67.7,2.7,263,50.2,2.9,52.8,2.9
ARIZONA,"5,361","4,757","3,262",60.8,2.2,68.6,2.2,"2,800",52.2,2.3,58.9,2.4
ARKANSAS,"2,261","2,158","1,262",55.8,2.7,58.5,2.8,919,40.6,2.7,42.6,2.8
CALIFORNIA,"30,243","25,525","15,690",51.9,1.0,61.5,1.0,"13,240",43.8,0.9,51.9,1.0
COLORADO,"4,353","4,029","2,645",60.8,2.5,65.6,2.5,"2,342",53.8,2.5,58.1,2.6
CONNECTICUT,"2,834","2,539","1,726",60.9,2.6,68.0,2.7,"1,370",48.3,2.7,54.0,2.9
DELAWARE,756,713,472,62.4,2.6,66.3,2.6,369,48.8,2.7,51.8,2.8
DISTRICT OF COLUMBIA,567,512,397,70.0,2.5,77.6,2.4,313,55.2,2.7,61.1,2.8
FLORIDA,"16,845","15,047","9,435",56.0,1.2,62.7,1.3,"7,918",47.0,1.3,52.6,1.3
GEORGIA,"7,850","7,311","4,840",61.7,1.8,66.2,1.8,"4,084",52.0,1.9,55.9,1.9
HAWAII,"1,057",971,523,49.5,2.7,53.9,2.8,427,40.4,2.7,44.0,2.8
IDAHO,"1,299","1,226",743,57.2,2.7,60.6,2.7,587,45.2,2.7,47.9,2.8
ILLINOIS,"9,732","8,947","6,068",62.4,1.6,67.8,1.6,"4,740",48.7,1.7,53.0,1.7
INDIANA,"5,006","4,792","3,131",62.5,2.2,65.3,2.3,"2,364",47.2,2.3,49.3,2.4
IOWA,"2,376","2,239","1,658",69.8,2.6,74.0,2.5,"1,335",56.2,2.8,59.6,2.8
KANSAS,"2,149","2,026","1,449",67.4,2.8,71.5,2.8,"1,152",53.6,3.0,56.9,3.0
KENTUCKY,"3,370","3,249","2,389",70.9,2.6,73.5,2.6,"1,746",51.8,2.9,53.8,2.9
LOUISIANA,"3,458","3,326","2,263",65.4,2.6,68.0,2.6,"1,656",47.9,2.7,49.8,2.7
MAINE,"1,074","1,056",828,77.1,2.6,78.4,2.5,693,64.5,2.9,65.6,2.9
MARYLAND,"4,666","4,281","3,095",66.3,2.3,72.3,2.3,"2,320",49.7,2.5,54.2,2.6
MASSACHUSETTS,"5,460","4,919","3,345",61.3,2.2,68.0,2.2,"2,731",50.0,2.2,55.5,2.3
MICHIGAN,"7,657","7,430","5,453",71.2,1.7,73.4,1.7,"4,418",57.7,1.9,59.5,1.9
MINNESOTA,"4,238","4,006","3,000",70.8,2.3,74.9,2.3,"2,523",59.5,2.5,63.0,2.5
MISSISSIPPI,"2,194","2,178","1,599",72.9,2.5,73.4,2.5,"1,180",53.8,2.8,54.2,2.8
MISSOURI,"4,676","4,564","3,299",70.6,2.2,72.3,2.2,"2,509",53.7,2.4,55.0,2.5
MONTANA,822,812,579,70.4,2.3,71.3,2.3,518,63.0,2.4,63.8,2.4
NEBRASKA,"1,428","1,332",883,61.9,2.8,66.3,2.8,676,47.3,2.9,50.8,3.0
NEVADA,"2,324","2,067","1,277",55.0,2.7,61.8,2.8,"1,006",43.3,2.7,48.7,2.9
NEW HAMPSHIRE,"1,080","1,025",726,67.2,2.6,70.8,2.6,576,53.3,2.8,56.2,2.8
NEW JERSEY,"7,009","6,267","4,297",61.3,1.9,68.6,1.9,"3,384",48.3,2.0,54.0,2.1
NEW MEXICO,"1,576","1,485",916,58.1,2.5,61.7,2.6,715,45.3,2.6,48.1,2.6
NEW YORK,"15,478","13,684","8,553",55.3,1.3,62.5,1.4,"6,775",43.8,1.3,49.5,1.4
NORTH CAROLINA,"7,911","7,444","5,160",65.2,1.8,69.3,1.8,"3,899",49.3,1.9,52.4,1.9
NORTH DAKOTA,560,541,397,70.9,2.5,73.4,2.5,335,59.8,2.7,61.9,2.7
OHIO,"8,873","8,640","6,062",68.3,1.6,70.2,1.6,"4,538",51.1,1.8,52.5,1.8
OKLAHOMA,"2,868","2,732","1,777",62.0,2.9,65.1,2.9,"1,350",47.1,3.0,49.4,3.0
OREGON,"3,293","3,138","2,274",69.1,2.6,72.5,2.5,"1,918",58.2,2.7,61.1,2.8
PENNSYLVANIA,"9,928","9,475","6,469",65.2,1.6,68.3,1.6,"5,173",52.1,1.7,54.6,1.7
RHODE ISLAND,828,782,532,64.2,2.7,68.0,2.7,403,48.7,2.8,51.6,2.9
SOUTH CAROLINA,"3,914","3,769","2,430",62.1,2.5,64.5,2.5,"1,836",46.9,2.6,48.7,2.7
SOUTH DAKOTA,648,637,429,66.2,2.7,67.3,2.7,331,51.0,2.9,51.9,2.9
TENNESSEE,"5,202","5,016","3,183",61.2,2.2,63.5,2.2,"2,487",47.8,2.3,49.6,2.3
TEXAS,"21,064","18,374","11,634",55.2,1.1,63.3,1.2,"8,886",42.2,1.1,48.4,1.2
UTAH,"2,247","2,109","1,443",64.2,2.2,68.4,2.2,"1,214",54.0,2.3,57.6,2.4
VERMONT,503,497,343,68.1,2.9,69.0,2.9,273,54.2,3.1,54.9,3.1
VIRGINIA,"6,386","5,773","4,159",65.1,2.0,72.0,2.0,"3,319",52.0,2.1,57.5,2.2
WASHINGTON,"5,775","5,228","3,852",66.7,2.1,73.7,2.0,"3,234",56.0,2.2,61.9,2.2
WEST VIRGINIA,"1,406","1,384",892,63.4,2.8,64.5,2.8,610,43.4,2.9,44.1,2.9
WISCONSIN,"4,436","4,296","3,129",70.5,2.3,72.8,2.2,"2,776",62.6,2.4,64.6,2.4
WYOMING,430,422,268,62.4,2.9,63.5,2.9,220,51.2,3.0,52.1,3.0
,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www2.census.gov/programs-surveys/cps/techdocs/cpsnov18.pdf",,,,,,,,,,,,
 ,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey,  November 2018",,,,,,,,,,,,
,,,,,,,,,,,,
